pmcid,pmid,doi,year,journal,title,authors,citation_count,rcr,terms_matched
PMC2246083,16751107,10.1016/j.cell.2006.03.042,2006,Cell,Global analysis of protein palmitoylation in yeast.,"Roth AF, Wan J, Bailey AO",463,8.418347418013846,"""Brett S. Phinney"""
PMC5135029,27784770,10.1212/WNL.0000000000003391,2016,Neurology,Gram-negative bacterial molecules associate with Alzheimer disease pathology.,"Zhan X, Stamova B, Jin LW",400,15.369061343433172,"""Brett Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC5827972,28183972,10.1126/science.aal3316,2017,"Science (New York, N.Y.)",Redox-based reagents for chemoselective methionine bioconjugation.,"Lin S, Yang X, Jia S",368,13.534244298324069,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC8131922,33813065,10.1016/j.mcpro.2021.100077,2021,Molecular & cellular proteomics : MCP,IonQuant Enables Accurate and Sensitive Label-Free Quantification With FDR-Controlled Match-Between-Runs.,"Yu F, Haynes SE, Nesvizhskii AI",360,22.610150400199288,"""Brett Phinney"""
PMC3991786,23041932,10.1038/nature11500,2012,Nature,The spatial architecture of protein function and adaptation.,"McLaughlin RN Jr, Poelwijk FJ, Raman A",337,8.394866416612505,"""University of California Davis Proteomics Core"""
PMC6997950,31813797,10.1016/j.devcel.2019.10.025,2020,Developmental cell,Galectin-3 Coordinates a Cellular System for Lysosomal Repair and Removal.,"Jia J, Claude-Taupin A, Gu Y",304,13.68704565259507,"""Proteomics Core at UC Davis""; (""Proteomics Core"" AND ""UC Davis"")"
PMC1143070,15894717,10.1105/tpc.105.031393,2005,The Plant cell,Identification and functional analysis of in vivo phosphorylation sites of the Arabidopsis BRASSINOSTEROID-INSENSITIVE1 receptor kinase.,"Wang X, Goshe MB, Soderblom EJ",302,5.689335105644361,"""Brett S. Phinney"""
PMC5764092,29275994,10.1016/j.devcel.2017.11.020,2018,Developmental cell,A Proximity Labeling Strategy Provides Insights into the Composition and Dynamics of Lipid Droplet Proteomes.,"Bersuker K, Peterson CWH, To M",286,10.289413674689596,"""University of California Davis Proteomics Core"""
PMC5827158,29520228,10.3389/fnagi.2018.00042,2018,Frontiers in aging neuroscience,"Lipopolysaccharide Associates with Amyloid Plaques, Neurons and Oligodendrocytes in Alzheimer's Disease Brain: A Review.","Zhan X, Stamova B, Sharp FR",266,12.624680189622474,"""Brett Phinney"""
PMC4451101,25554787,10.1126/science.1259724,2015,"Science (New York, N.Y.)",Protein synthesis. Rqc2p and 60S ribosomal subunits mediate mRNA-independent elongation of nascent chains.,"Shen PS, Park J, Qin Y",254,6.577105026958506,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC4509841,26147685,10.1038/ni.3205,2015,Nature immunology,Interferon-γ regulates cellular metabolism and mRNA translation to potentiate macrophage activation.,"Su X, Yu Y, Zhong Y",241,6.231568171280964,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC4442815,25987606,10.1083/jcb.201502033,2015,The Journal of cell biology,Ltc1 is an ER-localized sterol transporter and a component of ER-mitochondria and ER-vacuole contacts.,"Murley A, Sarsam RD, Toulmay A",235,6.702723700251637,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; ""University of California Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC5911935,29625033,10.1016/j.molcel.2018.03.009,2018,Molecular cell,Galectins Control mTOR in Response to Endomembrane Damage.,"Jia J, Abudu YP, Claude-Taupin A",235,8.094741337305118,"""Proteomics Core at UC Davis""; (""Proteomics Core"" AND ""UC Davis"")"
PMC4434539,25918844,10.7554/eLife.07739,2015,eLife,MICOS coordinates with respiratory complexes and lipids to establish mitochondrial inner membrane architecture.,"Friedman JR, Mourier A, Yamada J",234,6.866739420588052,"""Proteomics Core Facility at UC Davis""; ""Brett Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC7350907,31216481,10.1016/j.celrep.2019.05.065,2019,Cell reports,Cathepsin G Inhibition by Serpinb1 and Serpinb6 Prevents Programmed Necrosis in Neutrophils and Monocytes and Reduces GSDMD-Driven Inflammation.,"Burgener SS, Leborgne NGF, Snipas SJ",221,8.319400543356778,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC1323180,16357201,10.1073/pnas.0509026102,2005,Proceedings of the National Academy of Sciences of the United States of America,Jasmonate-inducible plant enzymes degrade essential amino acids in the herbivore midgut.,"Chen H, Wilkerson CG, Kuchar JA",209,5.015723245631637,"""Brett S. Phinney"""
PMC2694982,19564897,10.1371/journal.pbio.1000139,2009,PLoS biology,RIN4 functions with plasma membrane H+-ATPases to regulate stomatal apertures during pathogen attack.,"Liu J, Elmore JM, Fuglsang AT",209,4.663758526504026,"(""Proteomics Core"" AND ""UC Davis"")"
PMC3069099,21483796,10.1371/journal.pgen.1001350,2011,PLoS genetics,REVEILLE8 and PSEUDO-REPONSE REGULATOR5 form a negative feedback loop within the Arabidopsis circadian clock.,"Rawat R, Takahashi N, Hsu PY",198,4.848575439837196,"""Brett S. Phinney"""
PMC6834362,31442426,10.1016/j.molcel.2019.07.030,2019,Molecular cell,Proximity RNA Labeling by APEX-Seq Reveals the Organization of Translation Initiation Complexes and Repressive RNA Granules.,"Padrón A, Iwasaki S, Ingolia NT",186,6.226239840268158,"""UC Davis Genome Center Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC5397204,28406755,10.1089/ten.tec.2017.0018,2017,"Tissue engineering. Part C, Methods",A Modified Hydroxyproline Assay Based on Hydrochloric Acid in Ehrlich's Solution Accurately Measures Tissue Collagen Content.,"Cissell DD, Link JM, Hu JC",185,9.63941535822133,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
