pi_name,submissions,institute,nih_grant_count,nih_total_funding,nsf_award_count,nsf_total_funding,nih_grant_numbers,nsf_award_ids
Chris Johnson,1,Oklahoma State University,50,150319830,4,9300104,OT2OD036429; OT2OD026550; OT2OD026550; OT2OD026550; OT2OD026550; OT2OD026550; OT2OD036429; U58DP005956; OT2OD024610; P01AI089473; P01AI089473; P01AI089473; P01AI089473; P01AI089473; P01AI089473; P01AI089473; OT2OD024610; P01AI089473; P01AI089473; P01AI089473; OT2OD026550; U01AI151814; U01AI151814; U01AI151814; P41GM103545; U01AI151814; U01AI151814; P41RR012553; P41RR012553; P41GM103545; P41GM103545; P41GM103545; P41GM103545; P41RR012553; P41RR012553; P41RR012553; P41RR012553; P41RR012553; P41GM103545; P41RR012553; P41GM103545; P41RR012553; P41RR012553; P41RR012553; R24HS022417; R24HS022417; R24HS022417; R24HS022417; R24HS022417; P41GM103545,2412522; 2216947; 2215900; 2109860
Lennart Mucke,5,UCSF,50,85300639,0,0,P01AG073082; P01AG073082; P01AG073082; P01AG073082; P01AG073082; RF1AG063519; P01AG022074; RF1AG053981; P01AG022074; P01AG022074; P01AG022074; RF1AG083079; P01AG022074; P01AG022074; P01AG022074; P01AG022074; P01AG022074; P01AG022074; R56AG060631; P01AG073082; P01AG073082; P01AG073082; P01AG073082; P30NS069496; P30NS069496; P01AG073082; P30NS065780; P30NS065780; P30NS065780; P30NS065780; R01MH115679; P30NS065780; R01MH115679; R01MH115679; R01MH115679; R01MH115679; R01NS088532; R01NS088532; R01NS088532; R01NS088532; R01NS088532; R01NS043945; R01NS043945; R01NS041787; P01AG022074; R01NS041787; R37AG011385; R37AG011385; R21AG069183; R21AG085079,
Pamela Lein,1,"University of California, Davis",50,77409113,0,0,U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; RF1AG056710; U54NS127758; U54NS127758; U54NS127758; U54NS127758; RF1AG074709; RF1NS130659; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; R01ES014901; U54NS079202; U54NS079202; U54NS079202; U54NS079202; U54NS079202; R01AG074709; R01NS130659; R01AG074709; R01ES016308; R01ES016308; R01ES031098; R01ES014901; R01ES031098; R01ES031098; R01ES031098; R01ES031098; R01ES014901; R01ES014901; R01ES014901; R01ES014901; R01ES016308; R01ES016308; R01ES014901; R01ES014901; R01ES014901; R01ES014901; R01ES029213,
Deepak Srivastava,1,J. David Gladstone Institutes,50,72710080,0,0,P01HL146366; P01HL146366; P01HL146366; P01HL146366; P01HL146366; P01HL089707; P01HL089707; P01HL089707; P01HL089707; P01HL089707; U01HL098179; U01HL098179; P01HL089707; U01HL098179; P01HL089707; P01HL089707; P01HL089707; P01HL089707; U01HL098179; U01HL098179; U01HL100406; U01HL100406; U01HL100406; U01HL100406; U01HL100406; U01HL100406; U01HL100406; R24HL092851; R24HL092851; R24HL092851; UM1HL098179; UM1HL098179; UM1HL098179; UM1HL098179; UM1HL098179; R24HL092851; R01HL057181; R01HL057181; R01HL127240; R01HL163268; R01HL163268; R01HL057181; R01HL127240; R01HL163268; R01HL127240; R01HL127240; R01HL127240; R01HL150100; R01HL150100; R01HL150100,
Wallace Marshall,2,University of California San Francisco,50,15341421,3,44941776,R35GM130327; R35GM130327; R35GM130327; R35GM130327; R35GM130327; R35GM130327; R35GM130327; R35GM130327; P50GM081879; R01GM113602; R01GM113602; R01GM113602; R01GM113602; R01GM090305; R01GM090305; R01GM090305; R01GM090305; R01GM090305; R01GM097017; R01GM097017; R01GM097017; R01GM097017; P50GM081879; R01GM077004; R01GM077004; R01GM077004; R01GM077004; T32EB009383; T32EB009383; R01GM077004; R01GM077004; R01GM077004; R01GM077004; R01GM077004; R01GM097017; R01GM097017; R01GM097017; R01GM097017; T32EB009383; T32EB009383; T32EB009383; T32EB009383; R35GM130327; R03HD051583; R03HD051583; R03MH081217; R35GM130327; P41RR011823; P41RR011823; P41RR011823,2434588; 2317444; 1548297
Jennifer Doudna,1,UC Berkeley,50,45518947,1,800000,U19NS132303; U19NS132303; U19NS132303; RM1HG009490; RM1HG009490; RM1HG009490; RM1HG009490; RM1HG009490; P01GM073732; UH3AI150552; P01GM073732; P01GM073732; P01GM073732; UG3AI150552; UG3AI150552; UG3AI150552; R56AI095687; U19NS132303; P01GM073732; P01GM073732; R21AI159666; P01GM073732; P01GM073732; U19NS132303; U54AI170792; P01GM073732; U01AI142817; U01AI142817; U01AI142817; U01AI142817; U01AI142817; P50GM082250; P50GM082250; S10OD016268; U54AI170792; U54AI170792; R01GM073794; R01GM073794; R01GM073794; R21HL173710; R01GM065942; R01GM073794; U54AI170792; R01GM065942; R01GM065942; R01GM065942; P01GM022778; P01GM022778; P01GM022778; R21HL173710,2334028
Vojo Deretic,2,University of New Mexico,50,44137292,0,0,P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; R01AI111935; R01AI111935; R01AI111935; R01AI111935; R01AI111935; P20GM121176; P20GM121176; P20GM121176; P20GM121176; R01AI111935; R01AI111935; R01AI111935; R01AI111935; R01AI111935; UH2AI122313; R37AI042999; R37AI042999; R37AI042999; R37AI042999; P20GM121176; P20GM121176; UH2AI122313; R01AI042999; RC1AI086845; RC1AI086845; R01AI042999; R37AI042999; R37AI042999; R37AI042999; R37AI042999; R37AI042999; R01AI042999; R01AI042999; R01AI042999; R01AI042999; R01AI042999; R01AI042999; R01AI045148; R01AI045148,
Steve George,20,"University of California, Davis",50,39816514,0,0,UC4DK104202; UH3AT009790; UH3AT009790; UH3AT009790; UH3AT009790; UG3HL141800; UG3HL141800; UH3HL141800; UH3HL141800; UH3HL141800; UC4DK104202; R01HL070645; R01AI183645; R01AI183645; UG3AT009790; UG3AT009790; R01HL070645; UH2TR000481; UH3TR000481; UH3TR000481; UH3TR000481; UH3HL141800; UH2TR000481; R01EB030410; R01AR055899; R01AR055899; R01AR055899; R01EB030410; R01AR081796; R01EB030410; R01AR055899; R01AR055899; R01AR081796; R01AR081796; R01EB030410; R01AR055899; RC1ES018361; RC1ES018361; R01AR055899; R01AR055899; R01HL067954; R01AR055899; R01AR055899; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954,
Steven George,4,UC Davis,50,39816514,0,0,UC4DK104202; UH3AT009790; UH3AT009790; UH3AT009790; UH3AT009790; UG3HL141800; UG3HL141800; UH3HL141800; UH3HL141800; UH3HL141800; UC4DK104202; R01HL070645; R01AI183645; R01AI183645; UG3AT009790; UG3AT009790; R01HL070645; UH2TR000481; UH3TR000481; UH3TR000481; UH3TR000481; UH3HL141800; UH2TR000481; R01EB030410; R01AR055899; R01AR055899; R01AR055899; R01EB030410; R01AR081796; R01EB030410; R01AR055899; R01AR055899; R01AR081796; R01AR081796; R01EB030410; R01AR055899; RC1ES018361; RC1ES018361; R01AR055899; R01AR055899; R01HL067954; R01AR055899; R01AR055899; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954; R01HL067954,
Satya Dandekar,1,UC Davis MED:MEDICAL MICROBIOLOGY&IMM,50,31854508,0,0,U19AI166798; U19AI166798; U19AI166798; U19AI166798; U19AI166798; R37AI153025; R01AI123105; R37AI153025; R56AI120739; R01AI123105; R37AI153025; R01AI123105; R37AI153025; R01AI123105; R37AI153025; R01AI123105; R37AI153025; R37AI153025; R01AI043274; R01AI043274; R01AI043274; R01AI043274; U19AI166798; R01AI043274; R01DK061297; R01AI043274; R01DK061297; R01DK043183; R01DK043183; R01DK043183; R01DK043183; U19AI166798; R01AI043274; U19AI166798; U19AI166798; R01DK043183; U19AI166798; R01AI043274; R01DK061297; R01DK061297; R01DK061297; R01DK061297; R01DK061297; R01DK061297; R01DK043183; R01DK061297; R01DK043183; R01DK043183; R01DK043183; R01DK043183,
