award_id,title,pi,amount,start_date,end_date,program,active
2209383,"NSF-BSF: Control of molecular, cellular, and organismal phenotypes by the transcription factor NFAT5",Dietmar Kültz,1463466,08/01/2022,07/31/2027,Physiol Mechs & Biomechanics,True
2148207,Collaborative Research: Molecular mechanisms governing the cytoskeleton-mediated motility and distribution of peroxisomes and mitochondria in plants,Bo Liu,981302,05/15/2022,04/30/2027,Cellular Dynamics and Function,True
2127516,Collaborative Research: NSF-BSF: Somatic cell adaptation towards immortalization in a marine tunicate,Dietmar Kültz,1002134,08/01/2021,07/31/2026,Systems and Synthetic Biology,True
1954929,Sulfated peptides serve as molecular mimics that facilitate pathogen virulence,Pamela Ronald,675000,04/01/2021,03/31/2025,Plant-Biotic Interactions,False
1825022,EAGER: Collaborative Research: Proteomic Detection of Amelogenin Proteins for Biological Profiles,Glendon Parker,240000,09/01/2018,08/31/2022,Biological Anthropology,False
1656371,NSF-IOS-BSF: Biochemical and genetic basis of salinity tolerance in tilapia,Dietmar Kültz,960039,04/15/2017,03/31/2021,Physiol Mechs & Biomechanics,False
1557995,Prevalence and Functional Significance of Regulated Alternative Splicing in Plant Pathogenic Fungi,Ioannis Stergiopoulos,700000,07/15/2016,06/30/2023,"Plant-Biotic Interactions, Symbiosis Infection & Immunity",False
1355098,Mechanisms of osmosensing and osmotic stress responses in tilapia,Dietmar Kültz,705089,06/15/2014,05/31/2018,Physiol Mechs & Biomechanics,False
1354434,Dissection of subcellular sites of NLR function during immune signaling,Savithramma Dinesh-Kumar,763962,05/15/2014,04/30/2019,"Cross-BIO Activities, Symbiosis Infection & Immunity",False
1355459,EAGER: Small molecule regulation of plant autophagy and the biochemical characterization of whole intact autophagosomes,Savithramma Dinesh-Kumar,299999,11/15/2013,10/31/2015,Cellular Dynamics and Function,False
1342603,EAGER: Profiling Dynamic Changes in Animal Circadian Clock Protein Networks,Joanna Chiu,149995,08/01/2013,03/31/2015,Systems and Synthetic Biology,False
1243959,Microtubule Organization in Plant Cytokinesis,Bo Liu,200000,06/15/2013,05/31/2015,Cellular Dynamics and Function,False
1237975,Network-Guided Predictions and Characterization of Genes Governing Pattern Recognition Receptor-Mediated Immunity in Cereals,Pamela Ronald,2668339,03/01/2013,02/28/2018,Plant Genome Research Project,False
1054298,CAREER: Investigating Dynamic Changes in the Plasma Membrane Proteome during Plant Immune Signaling.,Gitta Coaker,1135241,04/01/2011,03/31/2017,"Systems and Synthetic Biology, Symbiosis Infection & Immunity",False
0719431,"Symposium on Translational Seed Biology: From Model Systems to Crop Improvement, University California, Davis, on September 17-20, 2007",Kent Bradford,24560,08/01/2007,07/31/2008,"PLANT FUNGAL & MICROB DEV MECH, Plant Genome Research Project",False
0709556,DISSERTATION RESEARCH: Behavioral Compensation for Limits to Ecophysiological Plasticity in Dynamic Environments,Dietmar Kültz,11998,06/15/2007,05/31/2009,Animal Behavior,False
0607329,Advancement of a Sustainable Microbial Wastewater Treatment Process for the Removal of Phosphorus,Frank Loge,320071,10/01/2006,09/30/2010,Nanoscale Interactions Program,False
0620001,RIG: Gene-To-Metabolite Networks Regulating Carbohydrate Metabolism in Transgenic Tomatoes,Diane Beckles,149883,09/15/2006,08/31/2010,"Molecular Biophysics, Plant Genome Research Project",False
0542755,Osmosensory signal transduction in gill cells of euryhaline tilapia,Dietmar Kültz,520742,09/01/2006,08/31/2010,"Physiol Mechs & Biomechanics, FUNCTIONAL & REGULATORY SYS CL",False
0608516,Dissertation Research:   The Genetic Architecture of Glucosinolate Breakdown Specificity,Daniel Kliebenstein,11999,07/01/2006,06/30/2008,POPULATION DYNAMICS,False
0107388,International Conference on Mathematical and Theoretical Biology,Alexander Mogilner,24750,08/01/2001,07/31/2002,"ADVANCES IN BIO INFORMATICS, APPLIED MATHEMATICS",False
2416267,NSF-BSF: Cytoskeletal Motor Assemblies for Plant Cytokinesis,Bo Liu,1269993,07/15/2024,06/30/2028,Cellular Dynamics and Function,True
2400351,Enantioenriched Silanols as a Platform for Discovery for Asymmetric Catalysis,Annaliese Franz,575000,07/15/2024,06/30/2027,Chemical Catalysis,True
2238995,CAREER: A portable nanosensor for ultrasensitive optical detection of airborne agents,Randy Carney,400236,07/01/2023,06/30/2028,"BioP-Biophotonics, BIOSENS-Biosensing",True
2145613,CAREER: PFAS-BioAction: Innovative treatment of municipal solid waste organics through insect-mediated bioprocessing and sequestration of poly- and perfluoroalkyl substances,Heather Bischel,529992,07/01/2022,06/30/2027,"EnvE-Environmental Engineering, Unallocated Program Costs",True
2054094,Collaborative Research: A plan to determine if the core can be the ultimate high 3He/4He source,Sujoy Mukhopadhyay,201245,08/01/2021,09/30/2025,Petrology and Geochemistry,False
2118017,Exodermis Differentiation and Function,Siobhan Brady,1323405,08/01/2021,07/31/2026,PLANT FUNGAL & MICROB DEV MECH,True
2131432,CAREER: From Desert to Coastal Rainforest Soils- How do fungi transform minerals deployed across natural weathering gradients?,Rebecca Lybrand,649956,05/01/2021,12/31/2026,Geobiology & Low-Temp Geochem,True
2034647,Developing structure-function relationships for CO2-assisted ethane dehydrogenation through zeolite-supported chromium sites,Coleman Kronawitter,595097,12/15/2020,11/30/2024,Catalysis,False
2028283,EAGER: Optimization of proximity labeling approach to understand composition and regulation of the plant ubiquitin ligases interactome,Nitzan Shabek,299979,08/01/2020,07/31/2022,Cellular Dynamics and Function,False
2021256,Stable Isotope Insights into Shellfish Consumption and Transport,Jelmer Eerkens,198410,07/01/2020,06/30/2024,Archaeology,False
1900300,Enantioenriched Silanol and Siloxy Compounds as Catalysts and Ligands,Annaliese Franz,564962,08/01/2019,07/31/2023,"OFFICE OF MULTIDISCIPLINARY AC, Chemical Catalysis",False
1904535,Collaborative Research: Elucidating the Influence of Metal Binding on Electronic/Geometric Structure-Function Relationships in Photorespiration,Arnold Bloom,445050,08/01/2019,07/31/2024,Chemistry of Life Processes,False
1758530,EAGER: Developing Chemical Probe Technologies to Explore Glycolipid Exchange Between Camellia sinesis (Tea) and Associated Microbes,Jacquelyn Gervay-Hague,300000,08/01/2018,01/31/2022,Chemistry of Life Processes,False
1639077,Acquisition of a high-resolution multicollector noble gas mass spectrometer for Earth origin and evolution research,Sujoy Mukhopadhyay,551270,09/15/2017,08/31/2021,Instrumentation & Facilities,False
1510714,UNS:  Collaborative Research:  Newly and To-Be-Discovered Phytometabolites of Antimicrobials:  Importance to Fate in Environmental and Human Systems,Gail Bornhorst,59985,08/01/2015,07/31/2019,EnvE-Environmental Engineering,False
1501526,Collaborative Research: Evolution of Arctic Water Column Hydrography during the Holocene Based on a Novel Instrumentation Combination,Howard Spero,298332,07/01/2015,06/30/2020,ANS-Arctic Natural Sciences,False
1456297,A comparative proteomic approach to understand animal circadian clock,Joanna Chiu,771902,05/01/2015,04/30/2020,Modulation,False
1464484,Defining the noble gas composition of highly depleted mantle domains,Sujoy Mukhopadhyay,325885,10/01/2014,07/31/2018,Marine Geology and Geophysics,False
1411368,Collaborative Research:   Bedrock nitrogen and the Earth system: From geobiolgical mechanisms to climate change forecasts,Benjamin Houlton,767135,09/01/2014,08/31/2018,INTEGRATED EARTH SYSTEMS,False
1363375,SusChEM: Design and Mechanistic Studies of Organic Silanols for Homogeneous Catalysis,Annaliese Franz,467880,09/01/2014,08/31/2017,"OFFICE OF MULTIDISCIPLINARY AC, Chemical Catalysis",False
1450645,Collaborative Research: Helium Diffusion in Lower Mantle Minerals,Sujoy Mukhopadhyay,68752,07/01/2014,04/30/2017,STUDIES OF THE EARTHS DEEP INT,False
1153491,Collaborative Research: Metabolite repair - Uncovering the hidden support system for metabolic networks,Oliver Fiehn,587385,05/15/2012,03/31/2017,Systems and Synthetic Biology,False
1036675,Formation of Secondary Organic Aerosol by Aqueous-phase Reactions of Phenols,Cort Anastasio,463192,12/01/2010,11/30/2014,Atmospheric Chemistry,False
0957872,"Slice Imaging Studies of Vibration, Rotational and Electronic Mediated Photodissociation and Photoionization of C2",William Jackson,373307,09/01/2010,08/31/2013,"Structure,Dynamics &Mechanisms",False
0946297,"Acquisition of an Excimer Laser, Quadrupole ICPMS and Microsampler for UC Davis",Howard Spero,411187,07/01/2010,06/30/2012,"Marine Geology and Geophysics, Instrumentation & Facilities, Paleoclimate",False
0822008,The roles of chemotaxis-like signal transduction systems in the differentiation and behavior of motile filaments of the cyanobacterium Nostoc punctiforme,John Meeks,449999,09/01/2008,08/31/2013,"PLANT FUNGAL & MICROB DEV MECH, MICROBIAL GENOME SEQUENCING",False
0715513,Integrated Studies on the Phloem as a Long-Distance Communication System in Plants,William Lucas,113392,01/01/2008,12/31/2009,Physiol Mechs & Biomechanics,False
0504615,Development of a Stable Isotope Technique for Sourcing Olivella Shell Beads in California,Jelmer Eerkens,97079,07/01/2005,06/30/2008,ARCHAEOMETRY,False
0352076,Reactions in an Ion Trap to Improve On-line Volatile Organic Compound (VOC) and Oxygenated Volatile Organic Compound (OVOC) Measurements,Gary Glish,121047,05/15/2004,10/31/2005,Atmospheric Chemistry,False
0348970,"Acquisition of an Isotope Ratio Mass Spectrometer System for the University of California, Davis",Isabel Montañez,208223,04/15/2004,03/31/2007,"Instrumentation & Facilities, Marine Geology and Geophysics",False
0342829,Acquisition of an Ultrahigh-Resolution Vacuum Ultraviolet Laser System,William Jackson,392237,02/15/2004,01/31/2007,Chemical Instrumentation,False
0313888,Reactive Polymers:  Applications in Organic Synthesis,Mark Kurth,516700,06/01/2003,05/31/2006,METHODOLOGY,False
0244569,Role of Protein Phosphorylation for Osmotic Stress Adaptation of a Euryhaline Teleost,Dietmar Kültz,216447,07/01/2002,02/28/2005,"SIGNAL TRANSDCTN/CELL REGULATN, INTEGRATIVE ANIMAL BIOLOGY",False
0003137,Synthesis and Measurement of Hydroxy Carbonyl Products of Isoprene Oxidation in Air,Thomas Cahill,245000,12/15/2000,11/30/2004,Atmospheric Chemistry,False
9982166,The Development and Analytical Application of Gas-phase Chiral Reactions,Carlito Lebrilla,634000,02/01/2000,01/31/2005,ANALYTICAL SEPARATIONS & MEAS.,False
9977873,Acquisition of Instrumentation for Elemental and Isotopic Analysis,Robert Rucker,1049251,09/01/1999,12/31/2003,Major Research Instrumentation,False
9811453,Offset Drilling on the Southeast Greenland Volcanic Rifted  Margin:  UCDavis Participation on the 1998 DLC Drilling     Cruise,Charles Lesher,200000,09/15/1998,08/31/2002,OCEAN DRILLING PROGRAM,False
9724143,Molecular Mechanisms of Mitochondrial DNA Inheritance,Jodi Nunnari,451114,10/01/1997,09/30/2001,CELLULAR ORGANIZATION,False
9706677,Early Magmatic Evolution of the East Greenland Volcanic Rifted Margin,Charles Lesher,119268,07/01/1997,06/30/2000,Petrology and Geochemistry,False
9601871,Acquisition of Stable Isotope Ratio Mass Spectrometer and   Sample Preparation Systems,Arnold Bloom,335000,08/01/1996,07/31/1999,ACADEMIC RESEARCH INFRASTRUCTU,False
9531236,Molecular Recognition in Gas Phase Biomolecules,Carlito Lebrilla,300000,04/01/1996,03/31/1999,ANALYTICAL SEPARATIONS & MEAS.,False
9310092,"Probe of Protonation Sites in Peptides and Oligosaccharides by the Concerted Use of Gas-Phase Basicities, Molecular     Orbital Calculations, and H/D Exchange Reactions",Carlito Lebrilla,217000,07/01/1993,03/31/1997,ANALYTICAL SEPARATIONS & MEAS.,False
9302364,Acquisition of Stable Isotope Mass Spectrometer System for  Small Sample Analyses,Howard Spero,160000,04/15/1993,03/31/1994,"Instrumentation & Facilities, Marine Geology and Geophysics",False
8816522,Acquisition of a Stable Isotope Mass Spectrometer,Robert Criss,192465,02/15/1989,02/28/1991,Instrumentation & Facilities,False
8800028,An Investigation of Field-Enhanced Evaporation,Zuhair Munir,296160,03/01/1988,08/31/1992,CERAMICS & ELECTRONIC MATERIAL,False
2533124,BioMADE: Driving Cost Reduction in Biomanufacturing Biomaterials from Methane: Engineering Novel Strains to Increase Downstream Processing Efficiency,Yi Wang,458552,10/01/2025,09/30/2027,Cellular & Biochem Engineering,True
1723280,High Performance Research Network,Gary Cherr,368366,10/01/2017,09/30/2019,"FIELD STATIONS, Discovery Research K-12",False
1557496,Collaborative Research: Uncovering the Role of Sirtuins in Linking Food Availability and Stress Tolerance Through Multi-Scale Signaling Networks in Mussels,Anne Todgham,474973,09/01/2016,08/31/2021,Integrtv Ecological Physiology,False
0354448,Collaborative Research: FRG: New Development on Nonparametric Modeling and Inferences with Biological Applications,Hans-Georg Mueller,282000,06/01/2004,05/31/2008,STATISTICS,False
0233366,US-France Cooperative Research:  Evolution and Function of Hopanoid Lipids in Symbiotic and Thermoacidophilic Actinomycetes,Alison Berry,15200,05/15/2003,04/30/2007,WESTERN EUROPE PROGRAM,False
1145241,"Workshop: Integrative organismal biology of adaptive processes, September 19-20, 2011, Arlington, VA",Dietmar Kültz,60401,09/01/2011,08/31/2013,Integrtv Ecological Physiology,False
1049780,Osmosensory Signal Transduction in Euryhaline Tilapia,Dietmar Kültz,626363,01/15/2011,12/31/2014,Physiol Mechs & Biomechanics,False
