pmid,title,year,journal,authors,grants
41942604,"Serum proteome of the Egyptian rousette bat (Rousettus aegyptiacus) reveals signatures of immunity, proteostasis, and metabolism.",2026,Scientific reports,Genovese BN; Randhawa N; Neely BA; Grigorean G; Schuh AJ,
41935019,"Ro5-4864, a ligand of the mitochondrial translocator protein, protects against heart failure in mice via regulation of the p62-Keap1-Nrf2 axis.",2026,The Journal of physiology,Diloretto DA; Thai PN; Grigorean G; Brown VJ; Dwyer T,19TPA34910148; 25TPA1478903; 24CDA1276831; F31HL168956; R01HL155907; R01HL085727
41843626,The ubiquitin ligase CBL and Fas-associated factor 2 cooperate to regulate the innate immune response to M. tuberculosis.,2026,PLoS pathogens,Truong T; Ray A; Martin K; Bates NA; Salemi M,
41614447,Minimally Destructive Radiocarbon Dating of Bone.,2026,Rapid communications in mass spectrometry : RCM,Higham T; Luftensteiner K; van der Sluis L; Giannì M; Wiegele M,101142352
41454884,Correlation of Plasma and Liver Tissue Proteomics for Plasma Biomarkers in Metabolic Dysfunction-Associated Steatotic Liver Disease.,2026,Journal of proteome research,Sourianarayanane A; Lee JS; Kim H; Phinney BS,
41427283,Molecular interactions of Chd8 in mouse brain highlights a role in chromatin-associated RNA processing.,2025,bioRxiv : the preprint server for biology,Smith E; Canales CP; Kenaston MW; Seban N; Wade AA,F31 HD113328; F31 MH119789; T32 GM007377; R01 MH120513; R01 AI170857; T32 MH073124
41213346,Use of shotgun immunoproteomics for the development of protein vaccines against Edwardsiella piscicida.,2026,Fish & shellfish immunology,Jacobsen KL; Griffin MJ; Phinney BS; Salemi M; Yazdi Z,
41040385,Development and validation of a streamlined workflow for proteomic analysis of proteins and post-translational modifications from dried blood.,2025,bioRxiv : the preprint server for biology,Foster MW; Chen Y; Violette M; Forrester MT; Mellors JS,R01 HL161071; R21 GM146142; R33 GM146142
40969138,"Specimen Inactivation Methods for Proteomics─Comparisons of Irradiation, Chemical, and Heat Treatments on Downstream Serum Analyses.",2025,Journal of proteome research,Genovese BN; Randhawa N; Grigorean G; Drazenovich T; Phinney BS,P51 OD011107
40815262,Proteomic Signatures of SARS-CoV-2 Susceptibility in Mexican Free-tailed Bats and Their Application to Viral Surveillance.,2025,Integrative and comparative biology,Becker DJ; Vicente-Santos A; Morales AE; Dyer KE; Olbrys BL,58-3022-0-005; P20GM134973; 2515340; P20 GM134973; 29018; MR/T021985/1; R01 AI185127; R01AI185127
40755907,Multiomics Profiling of Extracellular Vesicles Supports Their Involvement in Endothelial Senescence-Associated Vascular Dysfunction.,2025,Journal of extracellular biology,Hogans RE; Lin Y; Grigorean G; Grodzki AC; Mizenko RR,T32 GM135741; T32 GM144303
40707000,Exploring Virus-Host Interactions Through Combined Proteomic Approaches Identifies BANF1 as a New Essential Factor for African Swine Fever Virus.,2025,Molecular & cellular proteomics : MCP,Dupré J; Dolata KM; Pei G; Molouki A; Goatley LC,
40340396,Advances in African swine fever virus molecular biology and host interactions contributing to new tools for control.,2025,Journal of virology,Dixon LK,BBS/E/PI/230002A; BBS/E/PI/230001C; BBS/E/PI/23NB0004
40301321,Author Correction: Genome-guided isolation of the hyperthermophilic aerobe Fervidibacter sacchari reveals conserved polysaccharide metabolism in the Armatimonadota.,2025,Nature communications,Nou NO; Covington JK; Lai D; Mayali X; Seymour CO,
40291645,Context-dependent Interactors Regulate TDP-43 Dysfunction in ALS/FTLD.,2025,bioRxiv : the preprint server for biology,Xie L; Zhu Y; Hurtle BT; Wright M; Robinson JL,R01 EY030546; R21 NS133676; RF1 AG068581; R01 AG068581; RF1 AG065341; R01 HG009299; R01 NS105756; R01 AG077771; U24 DK112331; R01 AG076122; R01 NS127187; P01 AG066597; RF1 AG076122; R21 AG085314; R21 NS141767; P30 AG072979
40249779,MFRP is a molecular hub that organizes the apical membrane of RPE cells by engaging in interactions with specific proteins and lipids.,2025,Proceedings of the National Academy of Sciences of the United States of America,Tworak A; Smidak R; Rodrigues Menezes C; Du SW; Suh S,F30EY033642; R01EY009339; 2023; U01 EY034594; R01EY036086; R01 EY009339; P30 EY034070; T32 GM008620; F30 EY033642; T32GM008620; R01 EY028884; R01EY028884; R01 EY036086; U01EY034594
40198388,Deletion of wheat alpha-gliadins from chromosome 6D improves gluten strength and reduces immunodominant celiac disease epitopes.,2025,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Rottersman MG; Zhang W; Zhang J; Grigorean G; Burguener G,No number; Research Fellowship; Reducing wheat allergenicity; S10 OD026918; Researcher support; 2022-68013-36439
